"age" "educ" "black" "hisp" "married" "nodegr" "re74" "re75" "re78" "treat"
"67" 27 11 1 0 0 1 0 0 0 1
"68" 23 7 0 0 0 1 0 0 0 1
"69" 45 5 1 0 1 1 0 0 8546.72 1
"70" 29 13 1 0 0 0 0 0 7479.66 1
"71" 27 9 1 0 0 1 0 0 0 1
"72" 46 13 1 0 0 0 0 0 647.205 1
"73" 18 6 1 0 0 1 0 0 0 1
"74" 25 12 1 0 0 0 0 0 11965.8 1
"75" 28 15 1 0 0 0 0 0 9598.54 1
"76" 25 11 0 0 0 1 0 0 18783.4 1
"77" 22 12 1 0 0 0 0 0 18678.1 1
"78" 21 9 1 0 0 1 0 0 0 1
"79" 40 11 1 0 0 1 0 0 23005.6 1
"80" 22 11 1 0 0 1 0 0 6456.7 1
"81" 25 12 1 0 0 0 0 0 0 1
"82" 18 12 1 0 0 0 0 0 2321.11 1
"83" 38 12 0 0 0 0 0 0 4941.85 1
"84" 27 13 1 0 0 0 0 0 0 1
"85" 27 8 1 0 0 1 0 0 0 1
"86" 38 11 1 0 0 1 0 0 0 1
"87" 23 8 0 1 0 1 0 0 3881.28 1
"88" 26 11 1 0 0 1 0 0 17231 1
"89" 21 12 0 0 0 0 0 0 8048.6 1
"90" 25 8 1 0 0 1 0 0 0 1
"91" 31 11 1 0 1 1 0 0 14509.9 1
"92" 17 10 1 0 0 1 0 0 0 1
"93" 25 11 1 0 0 1 0 0 0 1
"94" 21 12 1 0 0 0 0 0 9983.78 1
"95" 44 11 1 0 0 1 0 0 0 1
"96" 25 12 0 0 0 0 0 0 5587.5 1
"97" 18 9 1 0 0 1 0 0 4482.85 1
"98" 42 12 1 0 0 0 0 0 2456.15 1
"99" 25 10 1 0 0 1 0 0 0 1
"100" 31 9 0 1 0 1 0 0 26817.6 1
"101" 24 10 1 0 0 1 0 0 0 1
"102" 26 10 1 0 0 1 0 0 9265.79 1
"103" 25 11 1 0 0 1 0 0 485.23 1
"104" 18 11 1 0 0 1 0 0 4814.63 1
"105" 19 11 1 0 0 1 0 0 7458.11 1
"106" 43 9 1 0 0 1 0 0 0 1
"107" 27 13 1 0 0 0 0 0 34099.3 1
"108" 17 9 1 0 0 1 0 0 1953.27 1
"109" 30 11 1 0 0 1 0 0 0 1
"110" 26 10 1 0 1 1 2028 0 0 1
"111" 20 9 1 0 0 1 6083.99 0 8881.67 1
"112" 17 9 0 1 0 1 445.17 74.3435 6210.67 1
"113" 20 12 1 0 0 0 989.268 165.208 0 1
"114" 18 11 1 0 0 1 858.254 214.564 929.884 1
"115" 27 12 1 0 1 0 3670.87 334.049 0 1
"116" 21 12 0 0 0 0 3670.87 334.049 12558 1
"117" 27 12 1 0 0 0 2143.41 357.95 22163.3 1
"118" 20 12 1 0 0 0 0 377.569 1652.64 1
"119" 19 10 1 0 0 1 0 385.274 8124.72 1
"120" 23 12 1 0 0 0 5506.31 501.074 671.332 1
"121" 29 14 1 0 0 0 0 679.673 17815 1
"122" 18 10 1 0 0 1 0 798.908 9737.15 1
"123" 19 9 1 0 0 1 0 798.908 17685.2 1
"124" 27 13 0 0 1 0 9381.57 853.723 0 1
"125" 18 11 0 0 0 1 3678.23 919.558 4321.71 1
"126" 27 9 1 0 1 1 0 934.445 1773.42 1
"127" 22 12 1 0 0 0 5605.85 936.177 0 1
"128" 23 10 1 0 1 1 0 936.439 11233.3 1
"129" 23 12 0 1 0 0 9385.74 1117.44 559.443 1
"130" 20 11 1 0 0 1 3637.5 1220.84 1085.44 1
"131" 17 9 1 0 0 1 1716.51 1253.44 5445.2 1
"132" 28 11 1 0 0 1 0 1284.08 60307.9 1
"133" 26 11 1 0 1 1 0 1392.85 1460.36 1
"134" 20 11 1 0 0 1 16318.6 1484.99 6943.34 1
"135" 24 11 1 0 1 1 824.389 1666.11 4032.71 1
"136" 31 9 1 0 0 1 0 1698.61 10363.3 1
"137" 23 8 0 0 1 1 0 1713.15 4232.31 1
"138" 18 10 1 0 0 1 2143.41 1784.27 11141.4 1
"139" 29 12 1 0 0 0 10881.9 1817.28 0 1
"140" 26 11 0 0 0 1 0 2226.27 13385.9 1
"141" 24 9 1 0 0 1 9154.7 2288.68 4849.56 1
"142" 25 12 1 0 0 0 14426.8 2409.27 0 1
"143" 24 10 1 0 0 1 4250.4 2421.95 1660.51 1
"144" 46 8 1 0 0 1 3165.66 2594.72 0 1
"145" 31 12 0 0 0 0 0 2611.22 2484.55 1
"146" 19 11 1 0 0 1 2305.03 2615.28 4146.6 1
"147" 19 8 1 0 0 1 0 2657.06 9970.68 1
"148" 27 11 1 0 0 1 2206.94 2666.27 0 1
"149" 26 11 1 0 1 1 0 2754.65 26372.3 1
"150" 20 10 1 0 0 1 5005.73 2777.36 5615.19 1
"151" 28 10 1 0 0 1 0 2836.51 3196.57 1
"152" 24 12 1 0 0 0 13765.8 2842.76 6167.68 1
"153" 19 8 1 0 0 1 2636.35 2937.26 7535.94 1
"154" 23 12 1 0 0 0 6269.34 3039.96 8484.24 1
"155" 42 9 1 0 1 1 0 3058.53 1294.41 1
"156" 25 13 1 0 0 0 12362.9 3090.73 0 1
"157" 18 9 1 0 0 1 0 3287.38 5010.34 1
"158" 21 12 1 0 0 0 6473.68 3332.41 9371.04 1
"159" 27 10 1 0 0 1 1001.15 3550.08 0 1
"160" 21 8 1 0 0 1 989.268 3695.9 4279.61 1
"161" 22 9 1 0 0 1 2192.88 3836.99 3462.56 1
"162" 31 4 1 0 0 1 8517.59 4023.21 7382.55 1
"163" 24 10 1 0 1 1 11703.2 4078.15 0 1
"164" 29 10 1 0 0 1 0 4398.95 0 1
"165" 29 12 1 0 0 0 9748.39 4878.94 10976.5 1
"166" 19 10 0 0 0 1 0 5324.11 13829.6 1
"167" 19 11 0 1 1 1 5424.49 5463.8 6788.46 1
"168" 31 9 1 0 0 1 10717 5517.84 9558.5 1
"169" 22 10 1 0 1 1 1468.35 5588.66 13228.3 1
"170" 21 9 1 0 0 1 6416.47 5749.33 743.667 1
"171" 17 10 1 0 0 1 1291.47 5793.85 5522.79 1
"172" 26 12 1 0 1 0 8408.76 5794.83 1424.94 1
"173" 20 9 0 1 0 1 12260.8 5875.05 1358.64 1
"174" 19 10 1 0 0 1 4121.95 6056.75 0 1
"175" 26 10 1 0 0 1 25929.7 6788.96 672.877 1
"176" 28 11 1 0 0 1 1929.03 6871.86 0 1
"177" 22 12 0 1 1 0 492.231 7055.7 10092.8 1
"178" 33 11 1 0 0 1 0 7867.92 6281.43 1
"179" 22 12 0 0 0 0 6759.99 8455.5 12590.7 1
"180" 29 10 0 1 0 1 0 8853.67 5112.01 1
"181" 33 12 1 0 1 0 20280 10941.4 15952.6 1
"182" 25 14 1 0 1 0 35040.1 11536.6 36647 1
"183" 35 9 1 0 1 1 13602.4 13830.6 12804 1
"184" 35 8 1 0 1 1 13732.1 17976.2 3786.63 1
"185" 33 11 1 0 1 1 14660.7 25142.2 4181.94 1
"186" 23 10 1 0 0 1 0 0 0 0
"187" 26 12 0 0 0 0 0 0 12383.7 0
"188" 22 9 1 0 0 1 0 0 0 0
"189" 18 9 1 0 0 1 0 0 10740.1 0
"190" 45 11 1 0 0 1 0 0 11796.5 0
"191" 18 9 1 0 0 1 0 0 9227.05 0
"192" 24 8 0 0 0 1 0 0 10569.3 0
"193" 34 11 1 0 1 1 0 0 6040.34 0
"194" 24 4 0 1 0 1 0 0 3880.83 0
"195" 36 10 1 0 0 1 0 0 0 0
"196" 21 14 1 0 0 0 0 0 5775.06 0
"197" 28 9 1 0 0 1 0 0 0 0
"198" 27 7 1 0 1 1 0 0 0 0
"199" 19 11 0 0 0 1 0 0 0 0
"200" 20 8 1 0 0 1 0 0 0 0
"201" 34 12 1 0 0 0 0 0 2113.72 0
"202" 24 10 1 0 0 1 0 0 7618.64 0
"203" 22 8 0 1 0 1 0 0 9920.95 0
"204" 25 11 1 0 0 1 0 0 4196.38 0
"205" 39 9 1 0 0 1 0 0 0 0
"206" 19 9 1 0 1 1 0 0 16658.3 0
"207" 44 9 1 0 0 1 0 0 9722 0
"208" 27 8 1 0 0 1 0 0 3783.66 0
"209" 25 8 1 0 0 1 0 0 3515.93 0
"210" 31 10 1 0 0 1 0 0 17014.6 0
"211" 34 10 1 0 1 1 0 0 0 0
"212" 21 7 0 1 0 1 0 0 0 0
"213" 33 12 1 0 0 0 0 0 5970.26 0
"214" 18 10 0 1 0 1 0 0 1859.17 0
"215" 26 12 1 0 1 0 0 0 6191.94 0
"216" 31 12 1 0 0 0 0 0 7284.39 0
"217" 35 10 1 0 0 1 0 0 445.831 0
"218" 20 12 1 0 0 0 0 0 0 0
"219" 25 11 1 0 0 1 0 0 0 0
"220" 25 10 1 0 0 1 0 0 7367.04 0
"221" 35 11 1 0 0 1 0 0 0 0
"222" 20 10 1 0 0 1 0 0 2015.5 0
"223" 25 9 0 1 0 1 0 0 15791.1 0
"224" 27 10 1 0 0 1 0 0 1135.47 0
"225" 20 11 0 1 0 1 0 0 6378.72 0
"226" 26 11 1 0 0 1 0 0 7176.19 0
"227" 38 8 1 0 0 1 0 0 0 0
"228" 34 10 1 0 0 1 0 0 7952.54 0
"229" 19 12 1 0 0 0 0 0 0 0
"230" 32 8 1 0 0 1 0 0 7152.13 0
"231" 20 9 0 1 0 1 0 0 8329.82 0
"232" 23 10 1 0 0 1 0 0 0 0
"233" 38 10 1 0 0 1 0 0 12429.9 0
"234" 24 11 1 0 0 1 0 0 0 0
"235" 23 11 1 0 0 1 0 0 5088.76 0
"236" 20 7 0 1 0 1 0 0 4374.04 0
"237" 21 11 1 0 0 1 0 0 1553.29 0
"238" 25 10 1 0 0 1 0 0 0 0
"239" 22 11 1 0 1 1 0 0 1698.3 0
"240" 23 11 1 0 0 1 0 0 0 0
"241" 24 12 0 0 0 0 0 0 11294.6 0
"242" 29 11 1 0 0 1 0 0 0 0
"243" 24 11 1 0 0 1 0 0 14626.4 0
"244" 22 9 1 0 0 1 0 0 12898.4 0
"245" 28 11 1 0 0 1 0 0 5767.13 0
"246" 18 10 0 1 0 1 0 0 6527.92 0
"247" 26 10 1 0 0 1 0 0 3931.24 0
"248" 25 10 1 0 0 1 0 0 20942.2 0
"249" 24 10 1 0 0 1 0 0 0 0
"250" 26 5 1 0 0 1 0 0 0 0
"251" 36 10 1 0 0 1 0 0 14690.4 0
"252" 22 11 1 0 0 1 0 0 0 0
"253" 25 12 1 0 0 0 0 0 3418.1 0
"254" 27 11 1 0 0 1 0 0 11197.3 0
"255" 29 8 1 0 0 1 0 0 0 0
"256" 24 12 1 0 0 0 0 0 0 0
"257" 22 10 1 0 0 1 0 0 0 0
"258" 24 7 1 0 0 1 0 0 1455.69 0
"259" 29 12 1 0 0 0 0 0 1890.94 0
"260" 25 11 0 1 1 1 0 0 4485.62 0
"261" 30 12 1 0 0 0 0 0 13613.4 0
"262" 22 8 1 0 0 1 0 0 1390.51 0
"263" 55 3 1 0 0 1 0 0 5843.8 0
"264" 20 10 1 0 0 1 0 0 8598.52 0
"265" 34 11 1 0 0 1 0 0 2920.2 0
"266" 22 12 1 0 0 0 0 0 0 0
"267" 32 12 0 1 1 0 0 0 6735.32 0
"268" 31 10 1 0 0 1 0 0 0 0
"269" 18 9 1 0 0 1 0 0 0 0
"270" 50 10 0 1 0 1 0 0 0 0
"271" 25 11 1 0 1 1 0 0 44.7555 0
"272" 23 10 1 0 1 1 0 0 0 0
"273" 38 10 1 0 0 1 0 0 0 0
"274" 25 10 1 0 1 1 0 0 3701.81 0
"275" 42 10 1 0 0 1 0 0 6930.34 0
"276" 39 12 1 0 1 0 0 0 3795.8 0
"277" 34 13 1 0 1 0 0 0 5193.25 0
"278" 24 7 1 0 0 1 0 0 2193.53 0
"279" 32 11 1 0 0 1 0 0 11120.5 0
"280" 27 13 1 0 0 0 0 0 7609.52 0
"281" 26 10 1 0 0 1 0 0 2169.03 0
"282" 44 11 1 0 0 1 0 0 0 0
"283" 25 11 1 0 0 1 0 0 1264.23 0
"284" 25 12 1 0 0 0 0 0 0 0
"285" 28 12 1 0 1 0 0 0 0 0
"286" 32 10 1 0 0 1 0 0 0 0
"287" 22 10 1 0 0 1 0 0 0 0
"288" 19 9 1 0 0 1 0 0 5712.64 0
"289" 31 10 1 0 1 1 0 0 0 0
"290" 23 11 1 0 0 1 0 0 0 0
"291" 33 11 1 0 0 1 0 0 0 0
"292" 27 10 1 0 0 1 0 0 1184.88 0
"293" 29 11 1 0 1 1 0 0 10225.9 0
"294" 23 10 1 0 0 1 0 0 0 0
"295" 25 9 1 0 1 1 0 0 4715.37 0
"296" 25 10 1 0 0 1 0 0 289.79 0
"297" 24 10 1 0 0 1 0 0 0 0
"298" 28 8 0 0 0 1 0 0 8190.42 0
"299" 26 6 1 0 0 1 0 0 4813.05 0
"300" 30 14 1 0 1 0 0 0 7344.68 0
"301" 25 10 1 0 1 1 0 0 0 0
"302" 29 11 1 0 1 1 0 0 0 0
"303" 25 12 1 0 1 0 0 0 0 0
"304" 28 13 1 0 0 0 0 0 0 0
"305" 23 11 1 0 0 1 0 0 4350.91 0
"306" 54 11 1 0 0 1 0 0 7812.52 0
"307" 33 5 0 1 0 1 0 0 0 0
"308" 20 8 1 0 0 1 0 0 3644.66 0
"309" 45 9 1 0 0 1 0 0 4844.8 0
"310" 39 6 1 0 0 1 0 0 0 0
"311" 26 12 1 0 0 0 0 0 0 0
"312" 23 10 1 0 0 1 0 0 0 0
"313" 27 12 0 0 0 0 0 0 14792.9 0
"314" 33 9 0 1 1 1 0 0 0 0
"315" 25 10 1 0 1 1 0 0 0 0
"316" 23 8 1 0 0 1 0 0 3746.7 0
"317" 18 8 1 0 0 1 0 0 1568.15 0
"318" 17 8 1 0 0 1 0 0 7010.44 0
"319" 19 9 0 1 0 1 0 0 3811.68 0
"320" 18 8 0 1 0 1 0 0 10798.6 0
"321" 18 11 1 0 0 1 0 0 4657.27 0
"322" 17 11 1 0 0 1 0 0 8551.53 0
"323" 19 10 1 0 0 1 0 0 4309.88 0
"324" 19 10 1 0 0 1 0 0 5286.4 0
"325" 18 9 1 0 0 1 0 0 12486.2 0
"326" 18 9 1 0 0 1 0 0 10877.4 0
"327" 18 10 1 0 0 1 0 0 202.285 0
"328" 17 10 1 0 0 1 0 0 2657.71 0
"329" 18 7 1 0 0 1 0 0 4132.58 0
"330" 18 11 1 0 0 1 0 0 11303.1 0
"331" 19 10 0 1 0 1 0 0 0 0
"332" 18 9 1 0 0 1 0 0 0 0
"333" 17 10 1 0 0 1 0 0 0 0
"334" 17 10 1 0 0 1 0 0 2189.43 0
"335" 19 11 1 0 0 1 0 0 0 0
"336" 17 8 0 0 0 1 0 0 10211 0
"337" 18 10 1 0 0 1 0 0 11048.1 0
"338" 18 9 1 0 0 1 0 0 0 0
"339" 17 8 1 0 0 1 0 0 8993.87 0
"340" 19 6 0 1 0 1 0 0 5071.8 0
"341" 19 10 0 0 0 1 0 0 3194.01 0
"342" 17 11 0 0 0 1 0 0 0 0
"343" 20 9 1 0 0 1 0 0 5193.09 0
"344" 17 9 1 0 0 1 0 0 0 0
"345" 17 10 1 0 0 1 0 0 275.566 0
"346" 17 9 1 0 0 1 0 0 3590.7 0
"347" 19 11 1 0 0 1 0 0 0 0
"348" 19 10 1 0 1 1 0 0 12797.7 0
"349" 20 9 1 0 0 1 0 0 2035.91 0
"350" 18 9 1 0 0 1 0 0 2389.68 0
"351" 18 11 1 0 0 1 0 0 0 0
"352" 17 10 0 1 0 1 0 0 8469.28 0
"353" 19 11 1 0 0 1 0 0 0 0
"354" 17 10 1 0 0 1 0 0 1143.39 0
"355" 17 9 0 1 0 1 0 0 5114.81 0
"356" 18 10 1 0 0 1 0 0 781.224 0
"357" 21 9 1 0 0 1 591.499 0 3343.22 0
"358" 18 10 1 0 0 1 1563.25 0 9602.44 0
"359" 19 11 1 0 0 1 1626.62 0 0 0
"360" 24 9 1 0 0 1 2788.5 0 16461.6 0
"361" 28 11 0 1 1 1 3472.95 0 6771.62 0
"362" 25 11 1 0 0 1 5281.25 0 0 0
"363" 21 7 1 0 0 1 33800 0 11011.6 0
"364" 39 11 1 0 0 1 0 83.6896 0 0
"365" 36 12 1 0 0 0 0 142.397 0 0
"366" 24 12 1 0 0 0 0 159.885 0 0
"367" 17 11 1 0 0 1 989.268 165.208 4251.13 0
"368" 18 10 1 0 0 1 960.427 240.107 2891.67 0
"369" 18 10 1 0 0 1 0 273.553 5514.37 0
"370" 28 10 1 0 0 1 1471.29 367.823 4858.9 0
"371" 27 13 0 0 0 0 5214.31 474.502 4812.58 0
"372" 31 12 0 0 0 0 0 494.643 0 0
"373" 22 9 1 0 0 1 0 506.408 604.199 0
"374" 31 10 1 0 0 1 0 520.446 14527.9 0
"375" 26 10 1 0 1 1 6140.37 558.773 0 0
"376" 18 9 0 0 0 1 0 559.596 7300.5 0
"377" 23 11 1 0 0 1 6382.31 580.79 0 0
"378" 20 12 1 0 0 0 0 591.815 4159.92 0
"379" 19 10 1 0 0 1 0 604.154 0 0
"380" 18 11 1 0 0 1 1064.7 645.272 5497.59 0
"381" 17 10 1 0 0 1 0 664.569 0 0
"382" 27 12 1 0 1 0 0 752.39 0 0
"383" 27 11 1 0 0 1 3065.19 766.299 0 0
"384" 28 12 0 0 0 0 0 803.343 16477 0
"385" 28 11 1 0 0 1 2431.95 863.48 0 0
"386" 21 10 1 0 0 1 6661.06 1162.36 39483.5 0
"387" 17 10 0 1 0 1 4905.12 1168.9 11306.3 0
"388" 26 11 1 0 0 1 4699.96 1174.99 6672.02 0
"389" 29 9 1 0 0 1 0 1203.82 9378.65 0
"390" 17 10 0 1 0 1 1203.61 1239.63 5088.99 0
"391" 22 11 1 0 0 1 7914.13 1321.66 2639.29 0
"392" 24 11 1 0 0 1 0 1327.99 9495.9 0
"393" 20 12 1 0 0 0 557.699 1371.47 20893.1 0
"394" 18 12 1 0 0 0 0 1405.51 0 0
"395" 24 11 0 0 0 1 2669.73 1468.38 10361.7 0
"396" 21 9 0 0 0 1 2988.41 1577.17 1740.2 0
"397" 30 8 1 0 0 1 0 1706.66 0 0
"398" 31 11 1 0 0 1 17711.9 1726.45 0 0
"399" 17 10 0 1 0 1 1442.68 1734.56 6354.19 0
"400" 19 9 1 0 0 1 8409.63 1778.09 7171 0
"401" 23 11 1 0 0 1 0 1896.02 5573.55 0
"402" 22 12 1 0 0 0 4380.02 2003.68 439.688 0
"403" 29 12 1 0 0 0 22859.4 2080.21 16970 0
"404" 22 10 1 0 0 1 0 2174.96 5344.02 0
"405" 29 13 1 0 0 0 718.249 2265.58 2725.32 0
"406" 19 11 1 0 0 1 721.341 2445.59 9772.28 0
"407" 17 9 1 0 0 1 0 2595.27 0 0
"408" 18 10 1 0 0 1 1716.51 2682.13 0 0
"409" 19 12 1 0 0 0 8417 2814.2 1720.91 0
"410" 20 6 1 0 0 1 6006.88 2850.61 0 0
"411" 33 11 1 0 0 1 10523.8 2899.82 18859.9 0
"412" 36 11 0 1 0 1 5443.73 3063.88 1324.54 0
"413" 25 11 1 0 0 1 15210 3072.73 284.658 0
"414" 19 11 1 0 0 1 3504.01 3285.68 11195.9 0
"415" 23 8 1 0 0 1 7724.28 3403.06 0 0
"416" 17 11 1 0 0 1 4080.73 3796.03 0 0
"417" 43 10 1 0 0 1 2502.87 4128.44 7565.27 0
"418" 26 11 1 0 1 1 0 4184.73 0 0
"419" 27 11 1 0 1 1 0 4491.88 0 0
"420" 19 11 1 0 0 1 6337.49 4503.06 0 0
"421" 28 11 1 0 1 1 8593.16 5393.9 4974.59 0
"422" 28 12 1 0 1 0 10585.1 5551.46 12780 0
"423" 26 8 1 0 0 1 1126.29 5562.6 3523.58 0
"424" 31 12 1 0 0 0 0 5613.91 0 0
"425" 23 11 1 0 0 1 7617.36 5716.41 10274.8 0
"426" 20 12 1 0 0 0 7182.49 6004.73 4779.72 0
"427" 28 10 1 0 1 1 8293.35 6449.48 16988.2 0
"428" 39 12 1 0 1 0 19785.3 6608.14 499.257 0
"429" 21 8 1 0 0 1 39570.7 6608.3 3083.58 0
"430" 22 11 1 0 0 1 8810.07 6974.48 3708.72 0
"431" 20 11 1 0 0 1 8009.16 7666.88 7659.22 0
"432" 21 11 0 1 0 1 2992.53 8920.47 20857.8 0
"433" 23 12 0 1 0 0 5721.7 8960.68 7078.18 0
"434" 29 9 1 0 0 1 9268.94 9160.69 0 0
"435" 28 9 1 0 1 1 10222.4 9210.45 1239.84 0
"436" 30 11 1 0 1 1 0 9311.94 3982.8 0
"437" 25 10 1 0 1 1 13520 9319.44 0 0
"438" 28 11 1 0 1 1 824.389 10033.9 0 0
"439" 22 10 0 0 0 1 27864.4 10598.7 7094.92 0
"440" 44 9 1 0 1 1 12260.8 10857.2 12359.3 0
"441" 21 9 1 0 0 1 31886.4 12357.2 0 0
"442" 28 11 1 0 0 1 17491.5 13371.3 0 0
"443" 29 9 0 1 0 1 9594.31 16341.2 16900.3 0
"444" 25 9 1 0 1 1 24731.6 16946.6 7343.96 0
"445" 22 10 0 0 1 1 25720.9 23032 5448.8 0
